Id-Player,Goals,Minutes,Altersklasse,Liga,Position,Vereinsname,Sex
202950,16,990,Jun.D,"Juniorinnen B, Juniorinnen C","Flügel rechts, Mittelfeld linksinnen, Mittelfeld rechtsinnen, Sturmspitze links, Sturmspitze rechts",FC Rüti (11044),W
1361293,16,804,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Ersatz (S), Sturmspitze links, Sturmspitze rechts, Verteidigung rechts",FC Hausen a/A (11080),M
304895,16,744,Jun.C,Junioren C 2. Stärkeklasse,"Flügel links, Flügel rechts",FC Witikon (11496),M
480395,16,835,Aktiv,Frauen 4. Liga,"Flügel links, Mittelfeld linksaussen, Mittelsturm, Sturmspitze links",FC Hinwil (11023),W
603621,16,855,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Mittelsturm, Sturmspitze, Sturmspitze rechts",FC Bosna Zürich (11541),M
1179341,16,971,Aktiv,"2. Liga, 3. Liga","Ersatz (S), Sturmspitze, Sturmspitze rechts",FC Phönix Seen (11258),M
431438,16,1800,30+,4. Liga,"Flügel links, Mittelfeld linksaussen, Sturmspitze, hängende Spitze",FC Schwamendingen (11487),M
478456,16,777,Jun.C,Juniorinnen C,"Mittelfeld, Mittelfeld linksinnen, hängende Spitze",FC Meilen (11034),W
615111,16,649,Jun.B,"3. Liga, Junioren B 1. Stärkeklasse","Ersatz (S), Flügel links, Flügel rechts, hängende Spitze, hängende Spitze links",FC Wetzikon (11055),M
544791,16,1502,Aktiv,4. Liga,Mittelfeld,Club Reggina Svizzera (11272),M
117823,16,810,Jun.C,"Juniorinnen B, Juniorinnen C","Mittelfeld, hängende Spitze",FC Herrliberg (11057),W
17831,16,810,Jun.C,Juniorinnen C,"Mittelfeld rechtsinnen, Tor",FC Meilen (11034),W
1245519,16,673,Jun.C,Junioren C 2. Stärkeklasse,"Innenverteidigung links, Innenverteidigung rechts, Mittelfeld linksinnen, Mittelsturm, Sturmspitze",FC Töss (11260),M
1233270,16,549,Aktiv,4. Liga,"Sturmspitze, Sturmspitze links, hängende Spitze",FC Neftenbach (11062),M
1003171,16,604,Jun.C,Junioren C Promotion,"Mittelfeld linksaussen, Mittelfeld rechtsaussen, Sturmspitze links, Sturmspitze rechts",SC Veltheim (11262),M
1073439,16,1090,30+,"4. Liga, 5. Liga, Senioren 30+","Ersatz (S), Mittelfeld defensiv links, Mittelfeld rechtsinnen",Sporting Club Schaffhausen (11114),M
1093611,16,630,Jun.B,Juniorinnen B,"Mittelfeld linksinnen, Mittelsturm",FC Wallisellen (11053),W
32769,16,560,30+,Senioren 30+,"Flügel rechts, Sturmspitze, hängende Spitze",FC Ellikon Marthalen (11014),M
731745,16,846,30+,4. Liga,Mittelfeld linksaussen,FC Männedorf (11033),M
737685,16,645,Jun.B,Juniorinnen B,"Sturmspitze links, Sturmspitze rechts",FC Birmensdorf (11004),W
1121438,16,797,Aktiv,"3. Liga, 5. Liga","Mittelsturm, Sturmspitze, Sturmspitze links, Sturmspitze rechts, Tor",FC Maur (11065),M
239897,16,503,Jun.C,Junioren C 1. Stärkeklasse,Sturmspitze,FC Effretikon (11502),M
678237,15,765,Jun.B,"Frauen 4. Liga, Juniorinnen B","Ersatz (S), Flügel rechts, Mittelfeld linksaussen, Mittelsturm, Sturmspitze, Sturmspitze rechts",FC Horgen (11024),W
1170128,15,632,Jun.C,Junioren C Promotion,"Flügel links, Flügel rechts, Sturmspitze",FC Niederweningen (11068),M
1060240,15,496,Jun.B,Junioren B Promotion,"Mittelfeld rechtsinnen, Sturmspitze, Verteidigung linksaussen",FC Herrliberg (11057),M
980733,15,591,Jun.C,Juniorinnen C,"Mittelfeld linksinnen, Sturmspitze rechts, Tor",FC Küsnacht (11030),W
1110963,15,786,Jun.A,4. Liga,"Hängende Spitze rechts, Sturmspitze links, Sturmspitze rechts, hängende Spitze",FC Effretikon (11502),M
936086,15,751,Aktiv,3. Liga,Sturmspitze,FC Glattfelden (11022),M
928218,15,810,Jun.C,"Juniorinnen B, Juniorinnen C","Sturmspitze, Sturmspitze links, Sturmspitze rechts, hängende Spitze",FC Rafzerfeld (11100),W
1254476,15,617,Jun.C,Junioren C 2. Stärkeklasse,"Mittelfeld, Mittelfeld linksinnen, Mittelfeld rechtsinnen, hängende Spitze",FC Stein am Rhein (11107),M
234752,15,1133,Jun.C,"Junioren B 2. Stärkeklasse, Junioren C 2. Stärkeklasse","Ersatz (S), Innenverteidigung links, Innenverteidigung rechts, Mittelfeld linksinnen, Mittelfeld rechtsinnen, Sturmspitze, Sturmspitze links, Sturmspitze rechts",FC Birmensdorf (11004),M
1365587,15,634,30+,4. Liga,"Ersatz (S), Mittelfeld links, Mittelsturm, Sturmspitze rechts",FC United Zürich (11517),M
176011,15,673,Jun.B,Junioren B 1. Stärkeklasse,"Mittelsturm, Sturmspitze, Sturmspitze links",FC Schwamendingen (11487),M
1324215,15,848,Jun.B,"4. Liga, Junioren B Promotion","Ersatz (S), Mittelsturm, Sturmspitze rechts",FC Oerlikon/Polizei ZH (11544),M
427315,15,808,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C Promotion","Ersatz (S), Mittelfeld rechtsinnen, Sturmspitze links, Sturmspitze rechts",FC Wetzikon (11055),M
461877,15,638,Jun.C,Junioren C 2. Stärkeklasse,"Flügel rechts, Mittelfeld linksaussen, Mittelfeld rechts, Sturmspitze links, Sturmspitze rechts",FC Schwerzenbach (11077),M
69690,14,510,Jun.B,"5. Liga, Junioren B 1. Stärkeklasse","Flügel links, Mittelsturm, Sturmspitze",SC Wipkingen ZH (11495),M
587350,14,469,50+,Senioren 50+/7,"Hängende Spitze rechts, Mittelfeld defensiv, Mittelfeld rechts, Mittelfeld rechtsaussen",AC Palermo (11514),M
558956,14,746,30+,4. Liga,Sturmspitze,FC Männedorf (11033),M
538897,14,953,30+,"4. Liga, Senioren 30+","Flügel links, Mittelfeld linksinnen, Mittelfeld rechtsinnen, hängende Spitze",FC Meilen (11034),M
470736,14,675,Jun.C,Junioren C 2. Stärkeklasse,"Mittelfeld defensiv, Mittelfeld linksinnen, hängende Spitze",FC Beringen (11101),M
371587,14,585,Jun.C,Junioren C 2. Stärkeklasse,Flügel links,FC Stein am Rhein (11107),M
275704,14,402,Jun.D,Juniorinnen C,Flügel links,FC Witikon (11496),W
233128,14,600,Jun.C,"Juniorinnen B, Juniorinnen C","Sturmspitze links, Sturmspitze rechts",FC Adliswil (11001),W
213548,14,418,50+,Senioren 50+/7,"Mittelsturm, Sturmspitze",FC Kloten (11028),M
130387,14,831,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse","Flügel links, Mittelfeld rechtsaussen, Sturmspitze rechts",FC Oberwinterthur (11257),M
1290237,14,363,Jun.C,"Junioren B 2. Stärkeklasse, Junioren C 2. Stärkeklasse","Mittelfeld linksinnen, Mittelfeld rechtsaussen, Sturmspitze, Sturmspitze links",FC Birmensdorf (11004),M
680622,14,781,Jun.B,Juniorinnen B,"Sturmspitze, Sturmspitze links",FC Richterswil (11041),W
757315,14,308,Jun.C,Junioren C 2. Stärkeklasse,"Mittelfeld linksaussen, Sturmspitze links, Sturmspitze rechts, hängende Spitze",FC Pfäffikon (11037),M
771374,14,998,Jun.B,"3. Liga, 4. Liga, Junioren A Promotion","Ersatz (S), Innenverteidigung rechts, Mittelfeld linksinnen, Mittelsturm, Sturmspitze links, Sturmspitze rechts, hängende Spitze",FC Hinwil (11023),M
701353,14,443,Jun.C,Juniorinnen C,Mittelfeld linksinnen,FC Affoltern a/A (11002),W
806440,14,630,Jun.C,Junioren C 2. Stärkeklasse,hängende Spitze,FC Wollerau (11765),M
819466,14,584,Jun.B,Junioren B 1. Stärkeklasse,"Innenverteidigung links, Mittelfeld linksaussen, Mittelfeld linksinnen, Sturmspitze, Sturmspitze links, Verteidigung linksaussen, Verteidigung rechtsaussen",FC Hausen a/A (11080),M
937532,14,589,Jun.C,Junioren C 1. Stärkeklasse,"Sturmspitze, Sturmspitze links, Sturmspitze rechts",FC Wiesendangen (11265),M
931797,14,645,Aktiv,5. Liga,"Mittelsturm, Sturmspitze, Sturmspitze links, Sturmspitze rechts",BC Albisrieden (11542),M
912042,14,475,Jun.C,Juniorinnen C,Sturmspitze links,FC Birmensdorf (11004),W
922824,14,420,40+,Senioren 40+,"Innenverteidigung links, Sturmspitze rechts",FC Bosna Zürich (11541),M
909975,14,802,30+,5. Liga,"Innenverteidigung rechts, Sturmspitze, Sturmspitze links, Sturmspitze rechts",FC Oberglatt (11036),M
787925,14,780,Jun.D,"Junioren B 2. Stärkeklasse, Junioren C 2. Stärkeklasse","Ersatz (S), Mittelfeld linksaussen, Mittelfeld rechtsaussen, Sturmspitze links, Sturmspitze rechts",FC Birmensdorf (11004),M
966893,14,515,Jun.A,"3. Liga, Junioren A","Ersatz (S), Sturmspitze",NK Dinamo Schaffhausen (11116),M
956789,14,683,Jun.C,Junioren C 1. Stärkeklasse,"Sturmspitze, Sturmspitze links",FC Glattfelden (11022),M
1046353,14,1054,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse","Flügel links, Mittelfeld links, Mittelfeld linksaussen, Mittelfeld rechtsaussen, Mittelsturm",Centro Lusitano Zurich (11523),M
1143152,14,657,Jun.C,Junioren C 2. Stärkeklasse,"Flügel links, Flügel rechts, Mittelfeld links, Mittelfeld linksinnen, Mittelfeld rechtsinnen",FC Birmensdorf (11004),M
1123879,14,668,Jun.B,"2. Liga, Junioren B Promotion","Ersatz (S), Sturmspitze, Sturmspitze links, hängende Spitze",FC Wald (11052),M
1230426,14,532,Jun.C,Juniorinnen C,Sturmspitze links,FC Horgen (11024),W
1172152,14,524,Jun.C,Junioren C 2. Stärkeklasse,"Mittelfeld linksaussen, Mittelfeld rechtsaussen, Verteidigung linksaussen",FC Bauma (11003),M
1144730,14,791,Jun.B,"4. Liga, Junioren B 1. Stärkeklasse","Ersatz (S), Mittelsturm, Sturmspitze",FC Wetzikon (11055),M
1194561,14,776,Aktiv,"3. Liga, 5. Liga","Mittelsturm, Sturmspitze, Sturmspitze links, Sturmspitze rechts",FC Neumünster (11481),M
1367122,14,744,Aktiv,"4. Liga, 5. Liga","Flügel links, Mittelfeld, Mittelfeld links, Mittelfeld linksaussen, Mittelsturm, Sturmspitze",FC Uitikon (11059),M
112186,13,445,30+,"5. Liga, Senioren 30+","Ersatz (S), Mittelsturm, Sturmspitze rechts, hängende Spitze",FC Wald (11052),M
1352417,13,652,Jun.C,Junioren C 1. Stärkeklasse,"Mittelfeld linksaussen, Sturmspitze links, Sturmspitze rechts",FC Dielsdorf (11008),M
