Id-Player,Liga,Vereinsname
233128,"Juniorinnen B, Juniorinnen C",FC Adliswil (11001)
213548,Senioren 50+/7,FC Kloten (11028)
130387,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",FC Oberwinterthur (11257)
1290237,"Junioren B 2. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Birmensdorf (11004)
680622,Juniorinnen B,FC Richterswil (11041)
757315,Junioren C 2. Stärkeklasse,FC Pfäffikon (11037)
771374,"3. Liga, 4. Liga, Junioren A Promotion",FC Hinwil (11023)
701353,Juniorinnen C,FC Affoltern a/A (11002)
806440,Junioren C 2. Stärkeklasse,FC Wollerau (11765)
819466,Junioren B 1. Stärkeklasse,FC Hausen a/A (11080)
937532,Junioren C 1. Stärkeklasse,FC Wiesendangen (11265)
931797,5. Liga,BC Albisrieden (11542)
912042,Juniorinnen C,FC Birmensdorf (11004)
922824,Senioren 40+,FC Bosna Zürich (11541)
909975,5. Liga,FC Oberglatt (11036)
787925,"Junioren B 2. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Birmensdorf (11004)
966893,"3. Liga, Junioren A",NK Dinamo Schaffhausen (11116)
956789,Junioren C 1. Stärkeklasse,FC Glattfelden (11022)
1046353,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",Centro Lusitano Zurich (11523)
1143152,Junioren C 2. Stärkeklasse,FC Birmensdorf (11004)
1123879,"2. Liga, Junioren B Promotion",FC Wald (11052)
1230426,Juniorinnen C,FC Horgen (11024)
1172152,Junioren C 2. Stärkeklasse,FC Bauma (11003)
1144730,"4. Liga, Junioren B 1. Stärkeklasse",FC Wetzikon (11055)
1194561,"3. Liga, 5. Liga",FC Neumünster (11481)
1367122,"4. Liga, 5. Liga",FC Uitikon (11059)
112186,"5. Liga, Senioren 30+",FC Wald (11052)
1352417,Junioren C 1. Stärkeklasse,FC Dielsdorf (11008)
772005,Senioren 50+/7,FC Kloten (11028)
812189,"Junioren A Promotion, Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Mönchaltorf (11035)
1258324,Junioren B 2. Stärkeklasse,FC Republika Srpska (11539)
1217107,Senioren 40+ (7/7),FC Oetwil-Geroldswil (11079)
1127531,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Schwerzenbach (11077)
1001110,"3. Liga, Junioren A",NK Dinamo Schaffhausen (11116)
53542,"Junioren B 2. Stärkeklasse, Junioren C 1. Stärkeklasse",FC Wetzikon (11055)
1095184,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",FC Brüttisellen-Dietlikon (11005)
491323,Senioren 50+/7,AC Palermo (11514)
1303497,Youth League C,FC Urdorf (11069)
632598,Junioren C 2. Stärkeklasse,FC Oberrieden (11078)
639164,2. Liga,SC Veltheim (11262)
287979,"Juniorinnen B, Juniorinnen C",FC Witikon (11496)
1125635,"3. Liga, Junioren A",NK Dinamo Schaffhausen (11116)
982042,Junioren C 2. Stärkeklasse,FC Knonau-Mettmenstetten (11083)
989128,5. Liga,FC Oetwil-Geroldswil (11079)
1289922,Frauen 3. Liga,FC Thayngen (11108)
783792,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Wollishofen (11497)
287027,Junioren B 1. Stärkeklasse,FC Dielsdorf (11008)
732928,U-16 (Frauen),FC Oerlikon/Polizei ZH (11544)
1233328,Junioren C 1. Stärkeklasse,FC Glattfelden (11022)
885134,Senioren 30+ Meister,SC Siebnen (11746)
1156883,Junioren C 1. Stärkeklasse,FC Kempttal (11026)
909268,"Frauen 4. Liga, Juniorinnen B",FC Witikon (11496)
818891,Junioren C 1. Stärkeklasse,FC Zürich-Affoltern (11467)
811098,Youth League C,FC Küsnacht (11030)
785883,Junioren C 2. Stärkeklasse,SC Hegi Winterthur (11267)
61023,Frauen 3. Liga,SC Veltheim (11262)
61636,3. Liga,G.S.I. Rümlang 1964 (11064)
1249962,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Wädenswil (11051)
266383,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",BC Albisrieden (11542)
803562,Junioren B 2. Stärkeklasse,FC Weisslingen (11054)
743955,Junioren C 1. Stärkeklasse,FC Dielsdorf (11008)
632790,Junioren C 1. Stärkeklasse,FC Räterschen (11039)
604535,"5. Liga, Senioren 30+",FC Embrach (11266)
20380,Junioren C 2. Stärkeklasse,FC Bauma (11003)
593765,Juniorinnen B,SC Wipkingen ZH (11495)
847332,5. Liga,Inter Club Zurigo (11511)
158839,5. Liga,FC Brasil Suisse (11537)
390761,"Junioren A Promotion, Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",FC Glattfelden (11022)
419505,Junioren C 2. Stärkeklasse,FC Beringen (11101)
1238915,"Junioren B 1. Stärkeklasse, Junioren B 2. Stärkeklasse",FC Affoltern a/A (11002)
335698,Junioren C 2. Stärkeklasse,FC Witikon (11496)
673184,"Frauen 3. Liga, Junioren C 2. Stärkeklasse, Juniorinnen B",FC Embrach (11266)
1324991,"Junioren A, Junioren B 1. Stärkeklasse, Junioren B 2. Stärkeklasse",FC Embrach (11266)
1215144,"Senioren 40+ Promotion, Senioren 50+/7",FC Affoltern a/A (11002)
1139399,"Junioren B 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Hausen a/A (11080)
711884,"Junioren C 2. Stärkeklasse, Junioren C Promotion",FC Tössfeld (11261)
1322826,Junioren C 2. Stärkeklasse,FC Beringen (11101)
750441,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",FC Effretikon (11502)
1347496,5. Liga,FC Italia Zurigo (11493)
1161129,Senioren 40+ (7/7),FC Horgen (11024)
1172651,Frauen 2. Liga,FC Kloten (11028)
1256607,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Töss (11260)
932636,Senioren 40+,FC Galatasaray (11518)
782581,Juniorinnen C,FC Wädenswil (11051)
1357127,Juniorinnen C,SC Veltheim (11262)
818422,Juniorinnen C,FC Meilen (11034)
922680,Junioren C 2. Stärkeklasse,FC Dielsdorf (11008)
247555,Junioren C 2. Stärkeklasse,FC Stammheim (11269)
241539,Junioren C 2. Stärkeklasse,FC Beringen (11101)
246284,U-16 (Frauen),FC Oerlikon/Polizei ZH (11544)
212983,Junioren B 1. Stärkeklasse,FC Beringen (11101)
200523,Junioren C 1. Stärkeklasse,FC Stäfa 1895 (11047)
1183890,5. Liga,FC Blau-Weiss Erlenbach (11710)
189738,Senioren 50+/7,FC Fällanden (11017)
1128264,2. Liga,SC Veltheim (11262)
1212874,Juniorinnen C,FC Dielsdorf (11008)
971476,Juniorinnen B,FC Pfäffikon (11037)
1326791,Junioren C 2. Stärkeklasse,SV Seebach ZH (11488)
682013,Junioren C 2. Stärkeklasse,FC Kloten (11028)
685793,4. Liga,FC Industrie Turicum (11552)
713854,"4. Liga, 5. Liga, Senioren 30+ Meister",FC Oetwil-Geroldswil (11079)
738632,Frauen 2. Liga,FC Witikon (11496)
1322863,Juniorinnen C,FC Oerlikon/Polizei ZH (11544)
351100,Junioren B 1. Stärkeklasse,FC Hausen a/A (11080)
954921,Junioren B 1. Stärkeklasse,BC Albisrieden (11542)
4852,Junioren C 2. Stärkeklasse,FC Engstringen (11015)
704113,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",SC Hegi Winterthur (11267)
694645,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Embrach (11266)
688932,3. Liga,FC Schlieren (11045)
970543,Junioren C 2. Stärkeklasse,FC Rafzerfeld (11100)
1001380,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",FC Adliswil (11001)
1009758,3. Liga,FC Srbija ZH (11516)
1014026,"3. Liga, 4. Liga",FC Oberwinterthur (11257)
644675,Junioren B 1. Stärkeklasse,FC Wiedikon ZH (11494)
660314,"Frauen 4. Liga, Juniorinnen B",FC Wetzikon (11055)
500341,Junioren C 1. Stärkeklasse,FR Black (11538)
477718,"Senioren 40+ (7/7), Senioren 50+/7",SV Seebach ZH (11488)
505371,Junioren C 2. Stärkeklasse,FC Srbija ZH (11516)
875939,5. Liga,FC Wetzikon (11055)
878350,Junioren C 2. Stärkeklasse,FC Lionem ZH (11551)
836516,Junioren C 2. Stärkeklasse,FC Engstringen (11015)
902908,4. Liga,FC Zürich-Affoltern (11467)
172086,Junioren C 1. Stärkeklasse,FC Brüttisellen-Dietlikon (11005)
166272,Junioren B 2. Stärkeklasse,FC Wetzikon (11055)
66950,"Junioren A Promotion, Junioren C 1. Stärkeklasse",FC Hinwil (11023)
139929,Junioren C 1. Stärkeklasse,FC Glattal Dübendorf (11086)
151261,Senioren 40+,FC Wülflingen (11264)
84866,"2. Liga, Junioren B 1. Stärkeklasse",FC Brüttisellen-Dietlikon (11005)
1210284,Youth League A,FC Regensdorf (11040)
161691,"Junioren B 1. Stärkeklasse, Junioren B 2. Stärkeklasse, Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Wülflingen (11264)
3046,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Töss (11260)
29759,Frauen 4. Liga,FC Volketswil (11075)
898667,Junioren B 1. Stärkeklasse,FC Phönix Seen (11258)
178835,"4. Liga, Junioren B 1. Stärkeklasse",FC Zürich-Affoltern (11467)
172366,"Frauen 4. Liga, Juniorinnen B",FC Egg (11012)
488099,Junioren C 2. Stärkeklasse,FC Bauma (11003)
501759,Junioren C Promotion,FC Witikon (11496)
1064297,Youth League C,FC Glattbrugg (11021)
509256,"Frauen 2. Liga, Juniorinnen B",FC Witikon (11496)
52579,Junioren C Promotion,SC Veltheim (11262)
1082120,"Juniorinnen B, Juniorinnen C",FC Adliswil (11001)
870001,4. Liga,FC Effretikon (11502)
446386,Frauen 3. Liga,FC Schwerzenbach (11077)
480337,Junioren C 2. Stärkeklasse,FC Embrach (11266)
832201,"Senioren 30+ Promotion, Senioren 40+, Senioren 50+/7",FC Glattfelden (11022)
1367055,4. Liga,NK Croatia ZH (11524)
683794,Junioren B 2. Stärkeklasse,FC Birmensdorf (11004)
675908,2. Liga,FC Brüttisellen-Dietlikon (11005)
958428,Junioren B Promotion,FC Oetwil-Geroldswil (11079)
698664,4. Liga,FC Knonau-Mettmenstetten (11083)
37176,Juniorinnen B,BC Albisrieden (11542)
1000406,"4. Liga, 5. Liga",FC Uitikon (11059)
599472,Junioren C Promotion,FC Schaffhausen (11105)
642285,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",FC Elgg (11013)
1326052,Junioren B 1. Stärkeklasse,FC Industrie Turicum (11552)
379444,Juniorinnen C,SC Veltheim (11262)
1100053,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",FC Rüti (11044)
1139414,3. Liga,FC Diessenhofen (11809)
679716,Junioren C 2. Stärkeklasse,FC Oberrieden (11078)
391957,Junioren B Promotion,FC Pfäffikon (11037)
394711,Junioren B 1. Stärkeklasse,SC Zollikon (11066)
433979,Junioren B 2. Stärkeklasse,Cholfirst United (11122)
426120,4. Liga,SV Seebach ZH (11488)
587341,Junioren B Promotion,SC Veltheim (11262)
577417,"Senioren 30+, Senioren 40+ (7/7), Senioren 50+/7",SV Seebach ZH (11488)
1309823,Junioren C 2. Stärkeklasse,FC Glattal Dübendorf (11086)
540835,Junioren C 1. Stärkeklasse,FC Adliswil (11001)
1257045,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Glattal Dübendorf (11086)
807590,Junioren C 1. Stärkeklasse,FC Dielsdorf (11008)
257680,Frauen 3. Liga,FC Glattfelden (11022)
911338,Junioren B Promotion,FC Oetwil-Geroldswil (11079)
129788,Frauen 4. Liga,FC Oerlikon/Polizei ZH (11544)
328727,"Frauen 3. Liga, Frauen 4. Liga, Juniorinnen B",FC Wiedikon ZH (11494)
323159,"3. Liga, Junioren A Promotion, Junioren B 1. Stärkeklasse",FC Volketswil (11075)
781470,Senioren 30+ Meister,BC Albisrieden (11542)
739788,"Junioren B 1. Stärkeklasse, Junioren B 2. Stärkeklasse, Junioren C 1. Stärkeklasse",FC Hinwil (11023)
757350,"Junioren B 1. Stärkeklasse, Junioren B 2. Stärkeklasse",FC Witikon (11496)
1253562,4. Liga,FC Birmensdorf (11004)
947867,Junioren C 1. Stärkeklasse,FC Altstetten (11469)
324146,5. Liga,FC Wald (11052)
1155925,Junioren C Promotion,SC Zollikon (11066)
472739,Junioren B 1. Stärkeklasse,FC Gossau (11076)
450052,5. Liga,FC Glattal Dübendorf (11086)
889527,3. Liga,FC Altstetten (11469)
853921,"Junioren B Promotion, Youth League A",FC Kilchberg-Rüschlikon (11027)
156902,Senioren 40+ Meister,FC Srbija ZH (11516)
138353,Juniorinnen C,FC Unterstrass (11492)
1208228,5. Liga,FC Wülflingen (11264)
110238,"Junioren C 2. Stärkeklasse, Juniorinnen C",FC Wiedikon ZH (11494)
158016,Junioren C 1. Stärkeklasse,FC Bassersdorf (11070)
473507,Juniorinnen C,FC Küsnacht (11030)
461680,Junioren B 2. Stärkeklasse,FC Hinwil (11023)
853750,"5. Liga, Junioren B 1. Stärkeklasse",BC Albisrieden (11542)
849470,"4. Liga, Senioren 30+ Promotion",NK Croatia ZH (11524)
899768,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Wülflingen (11264)
880952,Juniorinnen C,FC Küsnacht (11030)
862012,2. Liga,FC Regensdorf (11040)
1079365,Juniorinnen C,FC Räterschen (11039)
1091071,Junioren C Promotion,FC Wetzikon (11055)
1068844,Senioren 50+/7,SV Rümlang (11043)
20114,5. Liga,SC Winterthur United (11256)
498506,Frauen 3. Liga,FC Neftenbach (11062)
501463,Junioren C Promotion,SC Zollikon (11066)
491611,3. Liga,FC Diessenhofen (11809)
424213,Junioren B Promotion,FC Fällanden (11017)
388135,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC United Zürich (11517)
1122788,Senioren 50+/7,FC Richterswil (11041)
1243037,Junioren C 2. Stärkeklasse,FC Embrach (11266)
591265,Junioren C 2. Stärkeklasse,FC Pfäffikon (11037)
1102370,Frauen 3. Liga,FC Glattfelden (11022)
1118154,Frauen 4. Liga,FC Wetzikon (11055)
554549,Junioren C 2. Stärkeklasse,FC Oerlikon/Polizei ZH (11544)
644400,"Junioren B Promotion, Youth League B",FC Stäfa 1895 (11047)
1324158,"4. Liga, Senioren 30+, Senioren 40+ Promotion",FC Industrie Turicum (11552)
595303,4. Liga,FC Einsiedeln (11712)
995913,4. Liga,FC Oetwil-Geroldswil (11079)
1078886,Junioren C 1. Stärkeklasse,FC Wiesendangen (11265)
442913,Juniorinnen B,FC Witikon (11496)
438680,"Junioren B 1. Stärkeklasse, Junioren B Promotion",FC Wädenswil (11051)
433104,"3. Liga, 5. Liga",FC Blue Stars ZH (11472)
578463,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",BC Albisrieden (11542)
1317706,Juniorinnen C,FC Embrach (11266)
553756,5. Liga,FC Wiesendangen (11265)
534400,Junioren C 1. Stärkeklasse,FC Wollishofen (11497)
535185,"Juniorinnen B, Juniorinnen C",FC Egg (11012)
1311505,Junioren B 1. Stärkeklasse,FC Ellikon Marthalen (11014)
1315605,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Wollishofen (11497)
527337,Junioren B 1. Stärkeklasse,FC Gossau (11076)
524399,"Junioren A Promotion, Junioren B Promotion",SC Veltheim (11262)
510230,Junioren C 1. Stärkeklasse,FC Buchs-Dällikon (11473)
522612,Juniorinnen C,FC Küsnacht (11030)
712676,Frauen 4. Liga,FC Effretikon (11502)
1289160,Junioren C Promotion,FC Wädenswil (11051)
