Vereinsname,Cant_Player,Cant_Goal,Altersklasse
FC Industrie Turicum (11552),193,173,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Niederweningen (11068),163,171,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C"
SC Wipkingen ZH (11495),241,168,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Rafzerfeld (11100),161,168,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Fällanden (11017),135,167,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
SC Zollikon (11066),184,164,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Hausen a/A (11080),130,163,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Oberglatt (11036),207,162,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Egg (11012),166,159,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Urdorf (11069),166,157,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Altstetten (11469),157,156,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Blue Stars ZH (11472),136,156,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Greifensee (11056),163,156,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C"
SC Siebnen (11746),148,153,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Stammheim (11269),100,147,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C"
FC Bauma (11003),125,146,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
Cholfirst United (11122),87,144,"30+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Oberwinterthur (11257),145,143,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C"
FC Töss (11260),118,140,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Buchs-Dällikon (11473),153,139,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Tössfeld (11261),114,137,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Feusisberg-Schindellegi (11749),118,136,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Republika Srpska (11539),94,128,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C"
FC Schwerzenbach (11077),118,128,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Diessenhofen (11809),112,124,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Beringen (11101),90,123,"30+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
Sporting Club Schaffhausen (11114),200,123,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Kempttal (11026),118,122,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Wollerau (11765),124,120,"30+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Elgg (11013),116,117,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C"
FC Oberrieden (11078),71,115,"30+, Aktiv, Jun.A, Jun.B, Jun.C"
FC Stein am Rhein (11107),73,111,"30+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Langnau a/A (11032),93,107,"30+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Fehraltorf (11018),84,92,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
